Municipality,Temp-Max,Temp-Min,pcp,week,weeknumb,year,NDVI
ALEXANDER,6.357142857,-3.5,0.428571429,4/2/00,14,2000,0.7632
ALEXANDER,2.357142857,-6.071428571,0.714285714,4/9/00,15,2000,0.463
ALEXANDER,2,-8.571428571,0.142857143,4/16/00,16,2000,0.4375
ALEXANDER,13.35714286,-0.285714286,0.714285714,4/23/00,17,2000,0.4048
ALEXANDER,17.64285714,3.928571429,0,4/30/00,18,2000,0.4799
ALEXANDER,19.07142857,6,0.571428571,5/7/00,19,2000,0.555
ALEXANDER,11.07142857,4.071428571,4.714285714,5/14/00,20,2000,0.5971
ALEXANDER,16.14285714,3.714285714,0.571428571,5/21/00,21,2000,0.6663
ALEXANDER,16.78571429,7.5,0.857142857,5/28/00,22,2000,0.7037
ALEXANDER,17,6.071428571,0.571428571,6/4/00,23,2000,0.7507
ALEXANDER,18,9.214285714,7.428571429,6/11/00,24,2000,0.7864
ALEXANDER,15.92857143,8.857142857,8.714285714,6/18/00,25,2000,0.6141
ALEXANDER,20.85714286,12.5,7.142857143,6/25/00,26,2000,0.7256
ALEXANDER,21.21428571,11.85714286,0.857142857,7/2/00,27,2000,0.8371
ALEXANDER,24.64285714,14.71428571,4.285714286,7/9/00,28,2000,0.8521
ALEXANDER,24.92857143,15.5,1.571428571,7/16/00,29,2000,0.8671
ALEXANDER,21.85714286,11.07142857,4,7/23/00,30,2000,0.8738
ALEXANDER,28.64285714,17.71428571,0.714285714,7/30/00,31,2000,0.8188
ALEXANDER,25.92857143,16.78571429,0.285714286,8/6/00,32,2000,0.8204
ALEXANDER,24.78571429,14.78571429,1,8/13/00,33,2000,0.8222
ALEXANDER,21.57142857,12.57142857,1.428571429,8/20/00,34,2000,0.8239
ALEXANDER,25.57142857,14.07142857,0.285714286,8/27/00,35,2000,0.8434
ALEXANDER,17.71428571,9.714285714,5.571428571,9/3/00,36,2000,0.7882
ALEXANDER,2.571428571,-6.214285714,0.428571429,4/1/01,14,2001,0.5134
ALEXANDER,7.785714286,-1.142857143,0.571428571,4/8/01,15,2001,0.5134
ALEXANDER,5.428571429,-2.571428571,0.714285714,4/15/01,16,2001,0.4842
ALEXANDER,7.857142857,-4.642857143,0.142857143,4/22/01,17,2001,0.5088
